metric,value
Total Return,9.882632025912628
Annualized Return,0.0905193608851495
Annualized Volatility,0.3330776136365425
Sharpe (approx),1.120083858983394
Max Drawdown,-0.2750393234436679
Win Rate,0.7350993377483444
Trades,151.0
Mean Trade PnL,0.01818268754533942
Median Trade PnL,0.0089334451135462
Average Holding Days,60.00662251655629
Max Holding Days,186.0
Min Holding Days,14.0
Max Drawdown (recalc),-0.2750393234436679
Current Drawdown,-0.0023493480272896994
Days Below -5pct DD,18.0
Profit Factor,4.856492492549748
Pnl StdDev,0.04318680859529025
Pnl Skewness,2.3282288026208064
Pnl Kurtosis,8.76126464718063
