symbol,asset_class,freq_label,signal_time,entry_time,exit_time,direction,streak_len,amplitude,raw_weight,trade_return,scaled_weight,gross_leverage,pnl,signed_return,holding_days
伦敦金现,COMMO,Q,1997-06-30,1997-09-30,1998-03-31,1,5,-0.1222236824812721,0.35,-0.0988171882018263,0.35,0.35,-0.0347610158706392,-0.0988171882018263,182
万得科技大类指数,EQUITY,Q,2003-03-31,2003-06-30,2003-12-31,1,5,-0.2811108388937727,0.4,0.3233165607521602,0.4,0.8,0.129126624300864,0.3233165607521602,184
恒生综合行业指数-资讯科技业,EQUITY,Q,2003-03-31,2003-06-30,2003-12-31,1,5,-0.3043138450980767,0.4,0.5403479928757362,0.4,0.8,0.2159391971502945,0.5403479928757362,184
申万小盘指数,EQUITY,Q,2005-06-30,2005-09-30,2006-03-31,1,5,-0.2884989533308707,0.4,0.2076634187708763,0.4,0.4,0.0828653675083505,0.2076634187708763,182
期货收盘价(连续):CBOT小麦,COMMO,W,2007-11-16,2007-11-23,2007-12-07,1,7,-0.1579775280898876,0.35,0.2054977315185482,0.35,0.35,0.0717492060314918,0.2054977315185482,14
现货结算价:LME铜,COMMO,W,2007-11-23,2007-11-30,2007-12-14,1,7,-0.1812345679012346,0.35,-0.0319662243667068,0.35,0.35,-0.0113631785283473,-0.0319662243667068,14
中信风格指数:周期,EQUITY,W,2007-11-30,2007-12-07,2007-12-21,1,7,-0.1993203499257628,0.4,0.1213945481206582,0.4,0.4,0.0483578192482632,0.1213945481206582,14
中证全指,EQUITY,W,2008-03-28,2008-04-04,2008-04-18,1,7,-0.1682885405672928,0.4,-0.179697334191166,0.4,0.4,-0.0720789336764664,-0.179697334191166,14
中信风格指数:稳定,EQUITY,W,2008-04-04,2008-04-11,2008-04-25,1,7,-0.2620503195095408,0.4,0.0104566147174687,0.4,0.8,0.0039826458869874,0.0104566147174687,14
中证全指,EQUITY,W,2008-04-04,2008-04-11,2008-04-25,1,8,-0.2476930333095744,0.4,0.0425335117628538,0.4,0.8,0.0168134047051415,0.0425335117628538,14
期货收盘价(连续):CBOT小麦,COMMO,W,2008-05-16,2008-05-23,2008-06-06,1,7,-0.2040648737425581,0.35,0.0459117874645342,0.35,0.35,0.0158941256125869,0.0459117874645342,14
期货收盘价(连续):CBOT小麦,COMMO,W,2008-05-23,2008-05-30,2008-06-13,1,8,-0.2276739889139807,0.35,0.1722488038277512,0.35,0.35,0.0601120813397129,0.1722488038277512,14
中信风格指数:周期,EQUITY,W,2008-07-04,2008-07-11,2008-07-25,1,7,-0.2661578299011167,0.4,0.0680185851221351,0.2,1.0,0.013503717024427,0.0680185851221351,14
中信风格指数:金融,EQUITY,W,2008-07-04,2008-07-11,2008-07-25,1,7,-0.2461867822406869,0.4,0.1100563229319275,0.2,1.0,0.0219112645863855,0.1100563229319275,14
中证全指,EQUITY,W,2008-07-04,2008-07-11,2008-07-25,1,7,-0.2466569317468885,0.4,0.0751771966382641,0.2,1.0,0.0149354393276528,0.0751771966382641,14
中证红利,EQUITY,W,2008-07-04,2008-07-11,2008-07-25,1,7,-0.2787477203963713,0.4,0.0494120617515507,0.2,1.0,0.0097824123503101,0.0494120617515507,14
申万大盘指数,EQUITY,W,2008-07-04,2008-07-11,2008-07-25,1,7,-0.2439624992582924,0.4,0.0839906342790617,0.2,1.0,0.0166981268558123,0.0839906342790617,14
