asset_class,symbol,pnl
EQUITY,恒生指数,0.2560827604952615
EQUITY,中信风格指数:成长,0.16913449863873706
EQUITY,申万小盘指数,0.14390434209647698
EQUITY,申万中盘指数,0.1412049029447587
EQUITY,中信风格指数:周期,0.12581021611922916
COMMO,期货收盘价(连续):CBOT小麦,0.11580572407119412
EQUITY,恒生地产分类指数,0.10435027942593342
COMMO,ICE布油,0.10278391105618918
COMMO,伦敦金现,0.07680111362499252
EQUITY,恒生医疗保健指数,0.0760991534406246
EQUITY,中证全指,0.07418220042358209
EQUITY,中证红利,0.07394264896739737
EQUITY,标普500,0.07095490410327455
EQUITY,恒生综合行业指数-资讯科技业,0.06408698490268347
EQUITY,中信风格指数:金融,0.056871795353645165
EQUITY,申万大盘指数,0.05311440954701059
EQUITY,中信风格指数:消费,0.04185286824033527
COMMO,现货结算价:LME铜,0.03428969965621701
COMMO,伦敦银现,0.01703756684114731
EQUITY,中信风格指数:稳定,0.0033185458682106067
BOND,美国国债10年期,0.0005167170238508932
EQUITY,万得科技大类指数,-0.0005106404417239501
COMMO,期货收盘价(连续):CBOT大豆,-0.015353059367172232
COMMO,煤炭,-0.022387599899697803
