symbol,asset_class,freq_label,signal_time,entry_time,exit_time,direction,streak_len,amplitude,raw_weight,trade_return,scaled_weight,gross_leverage,pnl,signed_return
伦敦金现,COMMO,Q,1997-06-30,1997-09-30,1998-03-31,1,5,-0.12222368248127213,0.35,-0.09881718820182639,0.35,0.35,-0.034761015870639234,-0.09881718820182639
万得科技大类指数,EQUITY,Q,2003-03-31,2003-06-30,2003-12-31,1,5,-0.28111083889377275,0.4,0.3233165607521602,0.4,0.8,0.12912662430086408,0.3233165607521602
恒生综合行业指数-资讯科技业,EQUITY,Q,2003-03-31,2003-06-30,2003-12-31,1,5,-0.3043138450980767,0.4,0.5403479928757362,0.4,0.8,0.2159391971502945,0.5403479928757362
申万小盘指数,EQUITY,Q,2005-06-30,2005-09-30,2006-03-31,1,5,-0.2884989533308707,0.4,0.20766341877087635,0.4,0.4,0.08286536750835054,0.20766341877087635
期货收盘价(连续):CBOT小麦,COMMO,W,2007-11-16,2007-11-23,2007-12-07,1,7,-0.15797752808988763,0.35,0.20549773151854822,0.35,0.35,0.07174920603149187,0.20549773151854822
现货结算价:LME铜,COMMO,W,2007-11-23,2007-11-30,2007-12-14,1,7,-0.1812345679012346,0.35,-0.03196622436670682,0.35,0.35,-0.011363178528347386,-0.03196622436670682
中信风格指数:周期,EQUITY,W,2007-11-30,2007-12-07,2007-12-21,1,7,-0.19932034992576286,0.4,0.1213945481206582,0.4,0.4,0.04835781924826328,0.1213945481206582
中证全指,EQUITY,W,2008-03-28,2008-04-04,2008-04-18,1,7,-0.1682885405672928,0.4,-0.17969733419116607,0.4,0.4,-0.07207893367646644,-0.17969733419116607
中信风格指数:稳定,EQUITY,W,2008-04-04,2008-04-11,2008-04-25,1,7,-0.26205031950954083,0.4,0.010456614717468726,0.4,0.8,0.003982645886987491,0.010456614717468726
中证全指,EQUITY,W,2008-04-04,2008-04-11,2008-04-25,1,8,-0.24769303330957448,0.4,0.042533511762853804,0.4,0.8,0.016813404705141522,0.042533511762853804
期货收盘价(连续):CBOT小麦,COMMO,W,2008-05-16,2008-05-23,2008-06-06,1,7,-0.2040648737425581,0.35,0.04591178746453428,0.35,0.35,0.015894125612586997,0.04591178746453428
期货收盘价(连续):CBOT小麦,COMMO,W,2008-05-23,2008-05-30,2008-06-13,1,8,-0.22767398891398072,0.35,0.1722488038277512,0.35,0.35,0.060112081339712915,0.1722488038277512
中信风格指数:周期,EQUITY,W,2008-07-04,2008-07-11,2008-07-25,1,7,-0.2661578299011167,0.4,0.0680185851221351,0.2,1.0,0.013503717024427021,0.0680185851221351
中信风格指数:金融,EQUITY,W,2008-07-04,2008-07-11,2008-07-25,1,7,-0.2461867822406869,0.4,0.11005632293192757,0.2,1.0,0.021911264586385516,0.11005632293192757
中证全指,EQUITY,W,2008-07-04,2008-07-11,2008-07-25,1,7,-0.24665693174688852,0.4,0.07517719663826417,0.2,1.0,0.014935439327652834,0.07517719663826417
中证红利,EQUITY,W,2008-07-04,2008-07-11,2008-07-25,1,7,-0.2787477203963713,0.4,0.04941206175155077,0.2,1.0,0.009782412350310157,0.04941206175155077
申万大盘指数,EQUITY,W,2008-07-04,2008-07-11,2008-07-25,1,7,-0.2439624992582924,0.4,0.08399063427906173,0.2,1.0,0.016698126855812345,0.08399063427906173
现货结算价:LME铜,COMMO,W,2008-08-15,2008-08-22,2008-09-05,1,7,-0.15598660662741026,0.35,-0.032147742818057545,0.35,0.35,-0.01142670998632014,-0.032147742818057545
万得科技大类指数,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.26920640202735135,0.4,-0.03028127079757592,0.11111111111111112,1.0,-0.003420141199730658,-0.03028127079757592
中信风格指数:周期,EQUITY,W,2008-09-12,2008-09-19,2008-10-03,1,7,-0.3251918881422097,0.4,0.0916848856058452,0.11111111111111112,1.0,0.010131653956205024,0.0916848856058452
